Activity ID,Activity.Date,Activity.Name,Activity.Type,Activity.Description,Elapsed.Time.s,Distance.km,Relative.Effort,Commute,Activity.Gear,Filename,Month,Year,Day,start.time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186141924,"Aug 27, 2014, 5:29:16 PM",Lunch Ride,Ride,"Downtown, Summer, Tashi",2008,9.09,,FALSE,,activities/186141924.gpx,8,2014,27,5:29:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187988821,"Aug 31, 2014, 4:58:37 PM",Back from Cabin,Ride,,2155,10.53,,FALSE,,activities/187988821.gpx,8,2014,31,4:58:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190798448,"Sep 6, 2014, 8:04:15 PM",Distance,Ride,"Squirrels, Snapping Turtle, Ravine",3641,16.02,,FALSE,,activities/190798448.gpx,9,2014,6,8:04:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074670,"Sep 27, 2014, 2:06:37 PM",Explore,Ride,Exploring,5014,19.4,,FALSE,,activities/200074670.gpx,9,2014,27,2:06:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203789919,"Oct 5, 2014, 7:16:17 PM",Afternoon Ride,Ride,Lost part of it cause phone died - add 2 miles,1450,4.87,,FALSE,,activities/203789919.gpx,10,2014,5,7:16:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206546649,"Oct 12, 2014, 3:24:47 PM",Browns Creek Exploration,Ride,,4289,16.77,,FALSE,,activities/206546649.gpx,10,2014,12,3:24:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206709516,"Oct 12, 2014, 10:40:55 PM",Round Two,Ride,,1839,9.28,,FALSE,,activities/206709516.gpx,10,2014,12,12:40:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209638220,"Oct 20, 2014, 1:45:29 PM",Browns Creek,Ride,,2439,12.92,,FALSE,,activities/209638220.gpx,10,2014,20,1:45:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210165271,"Oct 21, 2014, 10:11:45 PM",Confusion ,Ride,,2216,12.9,,FALSE,,activities/210165271.gpx,10,2014,21,12:11:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211191496,"Oct 24, 2014, 8:02:08 PM",Relief?,Ride,,6844,19.66,,FALSE,,activities/211191496.gpx,10,2014,24,8:02:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211481797,"Oct 25, 2014, 3:31:34 PM",Morning Ride,Ride,,2227,9.18,,FALSE,,activities/211481797.gpx,10,2014,25,3:31:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214253030,"Nov 1, 2014, 3:14:06 PM",Morning Ride,Ride,Coldddd,1208,4.36,,FALSE,,activities/214253030.gpx,11,2014,1,3:14:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264440072,"Mar 7, 2015, 6:24:15 PM",First of the Year,Ride,Take that Jesus,6339,8.64,,FALSE,,activities/264440072.gpx,3,2015,7,6:24:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265071835,"Mar 8, 2015, 5:48:18 PM",Day 2,Ride,,2162,8.95,,FALSE,,activities/265071835.gpx,3,2015,8,5:48:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268595752,"Mar 15, 2015, 2:44:49 PM",Morning Run,Run,Cemetery,1555,4.17,,FALSE,,activities/268595752.gpx,3,2015,15,2:44:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269251653,"Mar 16, 2015, 6:23:55 PM",Bass Lake,Ride,,4820,25.64,,FALSE,,activities/269251653.gpx,3,2015,16,6:23:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275349183,"Mar 28, 2015, 3:03:07 PM",Morning Ride,Ride,,2360,9.35,,FALSE,,activities/275349183.gpx,3,2015,28,3:03:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293162767,"Apr 26, 2015, 6:54:54 PM",Afternoon Ride,Ride,First Browns creek ,3036,14.15,,FALSE,,activities/293162767.gpx,4,2015,26,6:54:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301979654,"May 10, 2015, 5:06:11 PM",Croixwood Exploration ,Ride,,4766,11.79,,FALSE,,activities/301979654.gpx,5,2015,10,5:06:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306778667,"May 18, 2015, 12:13:51 AM",Evening Ride,Ride,Saw Corbz,3485,7.23,,FALSE,,activities/306778667.gpx,5,2015,18,2:13:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310276740,"May 23, 2015, 6:33:08 PM",Browns ,Ride,,2895,12.61,,FALSE,,activities/310276740.gpx,5,2015,23,6:33:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321753889,"Jun 9, 2015, 2:44:14 PM",Croixwood ,Ride,,2233,7.24,,FALSE,,activities/321753889.gpx,6,2015,9,2:44:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322917936,"Jun 11, 2015, 12:04:59 AM",Evening Ride,Ride,,2918,9.39,,FALSE,,activities/322917936.gpx,6,2015,11,2:04:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326186699,"Jun 15, 2015, 7:03:09 PM",Afternoon Ride,Ride,,3417,14.51,,FALSE,,activities/326186699.gpx,6,2015,15,7:03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327323123,"Jun 17, 2015, 2:35:01 PM",Morning Ride,Ride,,3401,13.54,,FALSE,,activities/327323123.gpx,6,2015,17,2:35:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337253884,"Jul 1, 2015, 11:31:48 PM",Evening Ride,Ride,,2662,10.87,,FALSE,,activities/337253884.gpx,7,2015,1,1:31:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337886595,"Jul 2, 2015, 10:12:02 PM",Afternoon Ride,Ride,,2718,8.64,,FALSE,,activities/337886595.gpx,7,2015,2,12:12:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338257704,"Jul 3, 2015, 2:36:11 PM",Emily,Ride,,3791,11.5,,FALSE,,activities/338257704.gpx,7,2015,3,2:36:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338498022,"Jul 3, 2015, 9:13:32 PM",Afternoon Ride,Ride,,529,1.32,,FALSE,,activities/338498022.gpx,7,2015,3,9:13:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346298075,"Jul 15, 2015, 1:50:16 AM",First Run,Run,,693,2.65,,FALSE,,activities/346298075.gpx,7,2015,15,1:50:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346844505,"Jul 15, 2015, 8:05:46 PM",Afternoon Run,Run,,889,3.18,,FALSE,,activities/346844505.gpx,7,2015,15,8:05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347586977,"Jul 16, 2015, 8:27:35 PM",Rain 1 mile ,Run,,457,1.84,,FALSE,,activities/347586977.gpx,7,2015,16,8:27:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348759496,"Jul 18, 2015, 4:02:09 PM",Lunch Run,Run,,751,2.63,,FALSE,,activities/348759496.gpx,7,2015,18,4:02:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349418362,"Jul 19, 2015, 2:03:41 PM",Morning Run,Run,,433,1.85,,FALSE,,activities/349418362.gpx,7,2015,19,2:03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350867487,"Jul 21, 2015, 3:23:56 PM",Cabin ,Run,,460,1.8,,FALSE,,activities/350867487.gpx,7,2015,21,3:23:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354724449,"Jul 26, 2015, 7:08:52 PM",Afternoon Run,Run,,429,1.83,,FALSE,,activities/354724449.gpx,7,2015,26,7:08:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419494173,"Oct 24, 2015, 8:17:20 PM",Restarting ,Run,I am out of shape. Only 2 miles around campus. ,1031,3.26,,FALSE,,activities/419494173.gpx,10,2015,24,8:17:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436903489,"Nov 21, 2015, 11:11:47 PM",Home,Run,,506,2,,FALSE,,activities/436903489.gpx,11,2015,21,1:11:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437430053,"Nov 22, 2015, 4:18:02 PM",Morning Run,Run,,712,2.61,,FALSE,,activities/437430053.gpx,11,2015,22,4:18:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437973546,"Nov 23, 2015, 2:57:14 PM",Morning Run,Run,,460,1.85,,FALSE,,activities/437973546.gpx,11,2015,23,2:57:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438607662,"Nov 24, 2015, 4:54:01 PM",Morning Run,Run,,1020,3.72,,FALSE,,activities/438607662.gpx,11,2015,24,4:54:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439159978,"Nov 25, 2015, 3:43:42 PM",Morning Run,Run,,445,1.83,,FALSE,,activities/439159978.gpx,11,2015,25,3:43:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439699786,"Nov 26, 2015, 3:02:28 PM",In  the Snow,Run,,682,2.6,,FALSE,,activities/439699786.gpx,11,2015,26,3:02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504591625,"Feb 28, 2016, 3:32:47 PM",Morning Run,Run,,1103,3.61,,FALSE,,activities/504591625.gpx,2,2016,28,3:32:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513725479,"Mar 11, 2016, 1:13:39 AM",Evening Run,Run,Late night mind clearing ,1551,4.85,,FALSE,,activities/513725479.gpx,3,2016,11,1:13:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516060436,"Mar 13, 2016, 3:16:23 PM",Morning Run,Run,,1813,5.06,,FALSE,,activities/516060436.gpx,3,2016,13,3:16:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516830519,"Mar 14, 2016, 1:02:20 PM",Morning Run,Run,,399,1.67,,FALSE,,activities/516830519.gpx,3,2016,14,1:02:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569634899,"May 8, 2016, 2:56:55 PM",Morning Run,Run,,675,2.61,,FALSE,,activities/569634899.gpx,5,2016,8,2:56:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570528115,"May 9, 2016, 1:45:21 PM",Morning Run,Run,,537,1.82,,FALSE,,activities/570528115.gpx,5,2016,9,1:45:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572032830,"May 10, 2016, 9:58:55 PM",Afternoon Run,Run,,1344,4.55,,FALSE,,activities/572032830.gpx,5,2016,10,9:58:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573128373,"May 11, 2016, 11:11:15 PM",Evening Run,Run,,716,2.63,,FALSE,,activities/573128373.gpx,5,2016,11,1:11:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574248052,"May 13, 2016, 12:17:10 AM",Evening Run,Run,,865,3.26,,FALSE,,activities/574248052.gpx,5,2016,13,2:17:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575676385,"May 14, 2016, 1:44:53 PM",Morning Run,Run,,460,1.71,,FALSE,,activities/575676385.gpx,5,2016,14,1:44:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577111626,"May 15, 2016, 4:34:52 PM",Lunch Run,Run,,1454,4.91,,FALSE,,activities/577111626.gpx,5,2016,15,4:34:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578500194,"May 16, 2016, 11:16:38 PM",Evening Run,Run,,829,3.26,,FALSE,,activities/578500194.gpx,5,2016,16,1:16:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579503877,"May 17, 2016, 9:29:51 PM",Afternoon Run,Run,,1781,5.95,,FALSE,,activities/579503877.gpx,5,2016,17,9:29:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580545939,"May 18, 2016, 9:47:44 PM",Afternoon Run,Run,,421,1.85,,FALSE,,activities/580545939.gpx,5,2016,18,9:47:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581585560,"May 19, 2016, 10:06:40 PM",Afternoon Run,Run,,834,3.27,,FALSE,,activities/581585560.gpx,5,2016,19,12:06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583050353,"May 21, 2016, 12:24:48 PM",Morning Run,Run,Felt sick this morning ,1469,5.09,,FALSE,,activities/583050353.gpx,5,2016,21,2:24:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584515041,"May 22, 2016, 3:40:41 PM",Morning Run,Run,,823,3.25,,FALSE,,activities/584515041.gpx,5,2016,22,3:40:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585809898,"May 23, 2016, 8:55:11 PM",Afternoon Run,Run,Super windy ,409,1.74,,FALSE,,activities/585809898.gpx,5,2016,23,8:55:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587111550,"May 25, 2016, 1:01:47 AM",Evening Run,Run,,1408,5.11,,FALSE,,activities/587111550.gpx,5,2016,25,1:01:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588014000,"May 25, 2016, 8:54:41 PM",Afternoon Run,Run,Rain ,857,3.26,,FALSE,,activities/588014000.gpx,5,2016,25,8:54:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589296373,"May 27, 2016, 12:37:36 AM",Evening Run,Run,Wooooooo,2634,8.45,,FALSE,,activities/589296373.gpx,5,2016,27,2:37:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591092058,"May 28, 2016, 6:15:20 PM",Afternoon Run,Run,Rain,1565,5.18,,FALSE,,activities/591092058.gpx,5,2016,28,6:15:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592033168,"May 29, 2016, 3:07:02 PM",Morning Run,Run,,429,1.84,,FALSE,,activities/592033168.gpx,5,2016,29,3:07:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592578899,"May 29, 2016, 11:59:29 PM",Evening Ride,Ride,,7008,39.8,,FALSE,,activities/592578899.gpx,5,2016,29,1:59:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594597435,"Jun 1, 2016, 12:32:41 AM",Evening Run,Run,,1577,5.17,,FALSE,,activities/594597435.gpx,6,2016,1,2:32:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596579045,"Jun 2, 2016, 9:18:25 PM",Afternoon Run,Run,Can't feel foot,2371,7.79,,FALSE,,activities/596579045.gpx,6,2016,2,9:18:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598121638,"Jun 4, 2016, 1:56:47 PM",Morning Run,Run,,864,3.27,,FALSE,,activities/598121638.gpx,6,2016,4,1:56:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599400260,"Jun 5, 2016, 1:02:11 PM",Morning Ride,Ride,,5789,24.84,,FALSE,,activities/599400260.gpx,6,2016,5,1:02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600974553,"Jun 6, 2016, 10:17:01 PM",Afternoon Run,Run,Global scholarship winner ,860,3.37,,FALSE,,activities/600974553.gpx,6,2016,6,12:17:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603112711,"Jun 8, 2016, 7:56:10 PM",Afternoon Run,Run,Uphill,1140,4.19,,FALSE,,activities/603112711.gpx,6,2016,8,7:56:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604295332,"Jun 9, 2016, 10:14:37 PM",Afternoon Run,Run,,420,1.85,,FALSE,,activities/604295332.gpx,6,2016,9,12:14:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605919778,"Jun 11, 2016, 2:05:38 PM",Morning Run,Run,Hot,2776,7.6,,FALSE,,activities/605919778.gpx,6,2016,11,2:05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606927654,"Jun 12, 2016, 12:29:13 PM",Morning Run,Run,,837,3.22,,FALSE,,activities/606927654.gpx,6,2016,12,2:29:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610388714,"Jun 15, 2016, 7:12:59 PM",Afternoon Run,Run,,2504,7.66,,FALSE,,activities/610388714.gpx,6,2016,15,7:12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611518802,"Jun 17, 2016, 12:03:35 AM",Evening Run,Run,,1477,5.24,,FALSE,,activities/611518802.gpx,6,2016,17,2:03:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611930081,"Jun 17, 2016, 1:10:51 PM",Morning Run,Run,,434,1.85,,FALSE,,activities/611930081.gpx,6,2016,17,1:10:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614302056,"Jun 19, 2016, 3:48:30 PM",Morning Run,Run,Windddd hot,844,3.26,,FALSE,,activities/614302056.gpx,6,2016,19,3:48:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615538127,"Jun 20, 2016, 9:50:40 PM",Afternoon Run,Run,,1444,5.21,,FALSE,,activities/615538127.gpx,6,2016,20,9:50:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616620969,"Jun 21, 2016, 9:16:07 PM",Afternoon Run,Run,Hot,1982,6.16,,FALSE,,activities/616620969.gpx,6,2016,21,9:16:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617724936,"Jun 22, 2016, 9:45:14 PM",Afternoon Run,Run,,846,3.28,,FALSE,,activities/617724936.gpx,6,2016,22,9:45:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620430842,"Jun 25, 2016, 2:53:30 PM",Morning Run,Run,Ugh ,2756,7.77,,FALSE,,activities/620430842.gpx,6,2016,25,2:53:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620437155,"Jun 25, 2016, 3:47:26 PM",Quarter,Run,,53,0.33,,FALSE,,activities/620437155.gpx,6,2016,25,3:47:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620446806,"Jun 25, 2016, 3:54:49 PM",Quarter ,Run,,54,0.33,,FALSE,,activities/620446806.gpx,6,2016,25,3:54:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622920586,"Jun 27, 2016, 8:47:31 PM",Afternoon Ride,Ride,,3061,19.14,,FALSE,,activities/622920586.gpx,6,2016,27,8:47:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626748416,"Jul 1, 2016, 3:54:24 PM",Morning Ride,Ride,,6457,37.37,,FALSE,,activities/626748416.gpx,7,2016,1,3:54:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628067615,"Jul 2, 2016, 11:57:12 PM",5k prep,Run,,1520,5.39,,FALSE,,activities/628067615.gpx,7,2016,2,1:57:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629750435,"Jul 4, 2016, 1:47:41 PM",Biwabik 5k,Run,,1318,5.11,,FALSE,,activities/629750435.gpx,7,2016,4,1:47:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631303037,"Jul 5, 2016, 8:20:58 PM",Afternoon Run,Run,,1314,3.83,,FALSE,,activities/631303037.gpx,7,2016,5,8:20:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633623163,"Jul 7, 2016, 10:25:05 PM",Afternoon Run,Run,,870,3.25,,FALSE,,activities/633623163.gpx,7,2016,7,12:25:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634493417,"Jul 8, 2016, 8:53:19 PM",Afternoon Run,Run,,1016,3.55,,FALSE,,activities/634493417.gpx,7,2016,8,8:53:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635190076,"Jul 9, 2016, 2:04:07 PM",Morning Run,Run,,2036,6.71,,FALSE,,activities/635190076.gpx,7,2016,9,2:04:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636449821,"Jul 10, 2016, 2:24:05 PM",Morning Run,Run,BC rain ,2019,6.5,,FALSE,,activities/636449821.gpx,7,2016,10,2:24:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639123605,"Jul 13, 2016, 12:22:49 AM",Evening Run,Run,,2520,8.28,,FALSE,,activities/639123605.gpx,7,2016,13,2:22:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641734421,"Jul 15, 2016, 2:01:13 PM",Morning Run,Run,First 10k,3167,10.26,,FALSE,,activities/641734421.gpx,7,2016,15,2:01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642798242,"Jul 16, 2016, 2:49:02 PM",Morning Run,Run,,1434,5.09,,FALSE,,activities/642798242.gpx,7,2016,16,2:49:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643939421,"Jul 17, 2016, 1:09:29 PM",Find a way home ,Run,,2771,8.88,,FALSE,,activities/643939421.gpx,7,2016,17,1:09:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649645431,"Jul 22, 2016, 2:57:59 PM",Rockford Heat index ,Run,,950,3.47,,FALSE,,activities/649645431.gpx,7,2016,22,2:57:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653592872,"Jul 26, 2016, 12:22:45 AM",8x Stillwater Stairs ,Run,,2553,2.72,,FALSE,,activities/653592872.gpx,7,2016,26,2:22:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653597243,"Jul 26, 2016, 1:12:15 AM",Encore Stillwater stairs ,Run,Don't do an encore again ,219,0.28,,FALSE,,activities/653597243.gpx,7,2016,26,1:12:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654772008,"Jul 27, 2016, 12:38:03 AM",Long Lake Leisure ,Run,,2406,5.99,,FALSE,,activities/654772008.gpx,7,2016,27,2:38:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655798446,"Jul 27, 2016, 10:29:50 PM",Between the raindrops,Run,,847,3.35,,FALSE,,activities/655798446.gpx,7,2016,27,12:29:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656972644,"Jul 29, 2016, 12:35:57 AM",Evening Run,Run,,1142,3.92,,FALSE,,activities/656972644.gpx,7,2016,29,2:35:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658716280,"Jul 30, 2016, 4:21:24 PM",Long lake with Isaac ,Run,,1599,4.64,,FALSE,,activities/658716280.gpx,7,2016,30,4:21:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659685571,"Jul 31, 2016, 1:03:12 PM",Push the limits ,Run,,3899,13.1,,FALSE,,activities/659685571.gpx,7,2016,31,1:03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662498095,"Aug 2, 2016, 10:03:48 PM",Stillwater stairs x5 Speed set,Run,Heat ,1544,2.28,,FALSE,,activities/662498095.gpx,8,2016,2,12:03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663615691,"Aug 3, 2016, 9:34:05 PM",Mile for speed time not recorded new PR,Run,5:25 pr not recorded ,403,1.77,,FALSE,,activities/663615691.gpx,8,2016,3,9:34:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663619070,"Aug 3, 2016, 9:43:18 PM",Cool down ,Run,,155,0.48,,FALSE,,activities/663619070.gpx,8,2016,3,9:43:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
